+-----+----------------------+-------------------------------+-------------------------------------------------------+
| id  | large_name           | mid_name                      | small_name                                            |
|  89 | 소매                 | 섬유·의복·신발 소매           | 침구류/커튼 소매업                                    |
| 182 | 소매                 | 섬유·의복·신발 소매           | 한복 소매업                                           |
|  69 | 소매                 | 시계·귀금속 소매              | 시계/귀금속 소매업                                    |
| 125 | 소매                 | 식료품 소매                   | 가축 사료 소매업                                      |
|  70 | 소매                 | 식료품 소매                   | 건강보조식품 소매업                                   |
|  44 | 소매                 | 식료품 소매                   | 건어물/젓갈 소매업                                    |
| 165 | 소매                 | 식료품 소매                   | 곡물/곡분 소매업                                      |
|  11 | 소매                 | 식료품 소매                   | 반찬/식료품 소매업                                    |
| 123 | 소매                 | 식료품 소매                   | 수산물 소매업                                         |
| 227 | 소매                 | 식료품 소매                   | 아이스크림 할인점                                     |
| 134 | 소매                 | 식료품 소매                   | 정육점                                                |
| 105 | 소매                 | 식료품 소매                   | 채소/과일 소매업                                      |
| 127 | 소매                 | 식물 소매                     | 꽃집                                                  |
| 200 | 소매                 | 안경·정밀기기 소매            | 사무기기 소매업                                       |
| 235 | 소매                 | 안경·정밀기기 소매            | 사진기/기타 광학기기 소매업                           |
|  31 | 소매                 | 안경·정밀기기 소매            | 안경렌즈 소매업                                       |
| 166 | 소매                 | 애완동물·용품 소매            | 애완동물/애완용품 소매업                              |
| 150 | 소매                 | 연료 소매                     | 가스 충전소                                           |
|  25 | 소매                 | 연료 소매                     | 가정용 연료 소매업                                    |
|   5 | 소매                 | 연료 소매                     | 주유소                                                |
|  27 | 소매                 | 오락용품 소매                 | 문구/회화용품 소매업                                  |
| 164 | 소매                 | 오락용품 소매                 | 서점                                                  |
| 104 | 소매                 | 오락용품 소매                 | 운동용품 소매업                                       |
| 177 | 소매                 | 오락용품 소매                 | 음반/비디오물 소매업                                  |
| 188 | 소매                 | 오락용품 소매                 | 자전거 소매업                                         |
|  40 | 소매                 | 오락용품 소매                 | 장난감 소매업                                         |
| 161 | 소매                 | 음료 소매                     | 생수/음료 소매업                                      |
| 240 | 소매                 | 음료 소매                     | 얼음 소매업                                           |
|  93 | 소매                 | 음료 소매                     | 우유 소매업                                           |
| 213 | 소매                 | 음료 소매                     | 주류 소매업                                           |
|  94 | 소매                 | 의약·화장품 소매              | 약국                                                  |
| 107 | 소매                 | 의약·화장품 소매              | 의료기기 소매업                                       |
| 117 | 소매                 | 의약·화장품 소매              | 화장품 소매업                                         |
|  33 | 소매                 | 자동차 부품 소매              | 자동차 부품 소매업                                    |
| 141 | 소매                 | 자동차 부품 소매              | 타이어 소매업                                         |
|  22 | 소매                 | 장식품 소매                   | 기념품점                                              |
| 179 | 소매                 | 장식품 소매                   | 예술품 소매업                                         |
|  41 | 소매                 | 종합 소매                     | 그 외 기타 종합 소매업                                |
|  49 | 소매                 | 종합 소매                     | 슈퍼마켓                                              |
|  32 | 소매                 | 종합 소매                     | 편의점                                                |
|  16 | 소매                 | 중고 상품 소매                | 중고 상품 소매업                                      |
| 220 | 소매                 | 철물·건설자재 소매            | 건설/건축자재 소매업                                  |
| 140 | 소매                 | 철물·건설자재 소매            | 기타 건설/건축자재 소매업                             |
|  42 | 소매                 | 철물·건설자재 소매            | 벽지/장판/마루 소매업                                 |
|  55 | 소매                 | 철물·건설자재 소매            | 철물/공구 소매업                                      |
|  43 | 수리·개인            | 가전제품 수리                 | 가전제품 수리업                                       |
| 230 | 수리·개인            | 기타 가정용품 수리            | 가죽/가방/신발 수선업                                 |
|  81 | 수리·개인            | 기타 가정용품 수리            | 그 외 기타 개인/가정용품 수리업                       |
| 215 | 수리·개인            | 기타 가정용품 수리            | 시계/귀금속/악기 수리업                               |
|  47 | 수리·개인            | 기타 가정용품 수리            | 의류/이불 수선업                                      |
| 234 | 수리·개인            | 기타 개인                     | 결혼 상담 서비스업                                    |
| 214 | 수리·개인            | 기타 개인                     | 예식장업                                              |
| 197 | 수리·개인            | 모터사이클 수리               | 모터사이클 수리업                                     |
|  45 | 수리·개인            | 세탁                          | 세탁소                                                |
| 152 | 수리·개인            | 세탁                          | 셀프 빨래방                                           |
|  28 | 수리·개인            | 욕탕·신체관리                 | 마사지/안마                                           |
|  68 | 수리·개인            | 욕탕·신체관리                 | 목욕탕/사우나                                         |
| 192 | 수리·개인            | 욕탕·신체관리                 | 체형/비만 관리                                        |
| 155 | 수리·개인            | 이용·미용                     | 네일숍                                                |
|   9 | 수리·개인            | 이용·미용                     | 미용실                                                |
|  35 | 수리·개인            | 이용·미용                     | 피부 관리실                                           |
|   2 | 수리·개인            | 자동차 수리·세차              | 자동차 세차장                                         |
|  37 | 수리·개인            | 자동차 수리·세차              | 자동차 정비소                                         |
| 169 | 수리·개인            | 장례식장                      | 장례식장                                              |
| 172 | 수리·개인            | 장례식장                      | 화장터/묘지/납골당                                    |
|  83 | 수리·개인            | 컴퓨터 수리                   | 컴퓨터/노트북/프린터 수리업                           |
|  84 | 수리·개인            | 통신장비 수리                 | 핸드폰/통신장비 수리업                                |
|  73 | 숙박                 | 기타 숙박                     | 그 외 기타 숙박업                                     |
| 236 | 숙박                 | 기타 숙박                     | 기숙사/고시원                                         |
|   4 | 숙박                 | 일반 숙박                     | 여관/모텔                                             |
|  64 | 숙박                 | 일반 숙박                     | 캠핑/글램핑                                           |
|  21 | 숙박                 | 일반 숙박                     | 펜션                                                  |
| 175 | 숙박                 | 일반 숙박                     | 호텔/리조트                                           |
|  74 | 시설관리·임대        | 가정용품 대여                 | 기타 개인/가정용품 대여업                             |
| 226 | 시설관리·임대        | 가정용품 대여                 | 만화방                                                |
|  86 | 시설관리·임대        | 가정용품 대여                 | 스포츠/레크리에이션 용품 대여업                       |
| 245 | 시설관리·임대        | 가정용품 대여                 | 음반/비디오물 대여업                                  |
| 201 | 시설관리·임대        | 가정용품 대여                 | 의류 대여업                                           |
| 144 | 시설관리·임대        | 고용 알선                     | 고용 알선업                                           |
| 180 | 시설관리·임대        | 고용 알선                     | 상용 인력 공급 및 인사관리 서비스업                   |
|  67 | 시설관리·임대        | 고용 알선                     | 임시/일용 인력 공급업                                 |
|  15 | 시설관리·임대        | 기타 사업 서비스              | 전시/컨벤션/행사 대행 서비스업                        |
| 207 | 시설관리·임대        | 기타 사업 서비스              | 포장/충전업                                           |
| 196 | 시설관리·임대        | 사무 지원                     | 기타 사무 지원 서비스업                               |
| 211 | 시설관리·임대        | 사무 지원                     | 복사업                                                |
| 168 | 시설관리·임대        | 산업용품 대여                 | 건설기계/장비 대여업                                  |
| 202 | 시설관리·임대        | 산업용품 대여                 | 기타 산업용 기계/장비 대여업                          |
| 108 | 시설관리·임대        | 산업용품 대여                 | 컴퓨터/사무기기 대여업                                |
| 159 | 시설관리·임대        | 시설관리                      | 사업시설 유지·관리 서비스업                           |
| 116 | 시설관리·임대        | 여행사·보조                   | 기타 여행 보조/예약 서비스업                          |
|  88 | 시설관리·임대        | 여행사·보조                   | 여행사                                                |
| 121 | 시설관리·임대        | 운송장비 대여                 | 기타 운송장비 대여업                                  |
|  23 | 시설관리·임대        | 운송장비 대여                 | 자동차 대여업                                         |
| 162 | 시설관리·임대        | 조경·유지                     | 조경 유지·관리 서비스업                               |
|  30 | 시설관리·임대        | 청소·방제                     | 건축물 일반 청소업                                    |
| 157 | 시설관리·임대        | 청소·방제                     | 산업설비; 운송장비 및 공공장소 청소업                 |
|  71 | 시설관리·임대        | 청소·방제                     | 소독; 구충 및 방제 서비스업                           |
|  97 | 예술·스포츠          | 도서관·사적지                 | 독서실/스터디 카페                                    |
|  24 | 예술·스포츠          | 스포츠 서비스                 | 골프 연습장                                           |
|  80 | 예술·스포츠          | 스포츠 서비스                 | 기타 스포츠시설 운영업                                |
|   6 | 예술·스포츠          | 스포츠 서비스                 | 당구장                                                |
| 198 | 예술·스포츠          | 스포츠 서비스                 | 볼링장                                                |
| 156 | 예술·스포츠          | 스포츠 서비스                 | 수영장                                                |
| 217 | 예술·스포츠          | 스포츠 서비스                 | 스쿼시/라켓볼장                                       |
| 218 | 예술·스포츠          | 스포츠 서비스                 | 종합 스포츠시설                                       |
| 210 | 예술·스포츠          | 스포츠 서비스                 | 탁구장                                                |
| 122 | 예술·스포츠          | 스포츠 서비스                 | 테니스장                                              |
| 167 | 예술·스포츠          | 스포츠 서비스                 | 헬스장                                                |
|  96 | 예술·스포츠          | 유원지·오락                   | PC방                                                  |
|  48 | 예술·스포츠          | 유원지·오락                   | 기타 오락관련 서비스업                                |
|  57 | 예술·스포츠          | 유원지·오락                   | 기타 오락장                                           |
| 199 | 예술·스포츠          | 유원지·오락                   | 낚시터 운영업                                         |
|  52 | 예술·스포츠          | 유원지·오락                   | 노래방                                                |
| 244 | 예술·스포츠          | 유원지·오락                   | 바둑/장기/체스 경기 운영업                            |
| 103 | 예술·스포츠          | 유원지·오락                   | 복권 발행/판매업                                      |
| 246 | 예술·스포츠          | 유원지·오락                   | 비디오방                                              |
|  98 | 예술·스포츠          | 유원지·오락                   | 수상/해양 레저업                                      |
| 186 | 예술·스포츠          | 유원지·오락                   | 전자 게임장                                           |
|  50 | 음식                 | 구내식당·뷔페                 | 구내식당                                              |
| 109 | 음식                 | 구내식당·뷔페                 | 뷔페                                                  |
| 114 | 음식                 | 기타 간이                     | 그 외 기타 간이 음식점                                |
| 100 | 음식                 | 기타 간이                     | 김밥/만두/분식                                        |
| 130 | 음식                 | 기타 간이                     | 떡/한과                                               |
| 142 | 음식                 | 기타 간이                     | 버거                                                  |
|   8 | 음식                 | 기타 간이                     | 빵/도넛                                               |
| 223 | 음식                 | 기타 간이                     | 아이스크림/빙수                                       |
|  58 | 음식                 | 기타 간이                     | 치킨                                                  |
| 112 | 음식                 | 기타 간이                     | 토스트/샌드위치/샐러드                                |
|  91 | 음식                 | 기타 간이                     | 피자                                                  |
| 247 | 음식                 | 기타 외국                     | 분류 안된 외국식 음식점                               |
| 171 | 음식                 | 동남아시아                    | 기타 동남아식 전문                                    |
| 132 | 음식                 | 동남아시아                    | 베트남식 전문                                         |
|  36 | 음식                 | 비알코올                      | 카페                                                  |
|  72 | 음식                 | 서양식                        | 경양식                                                |
| 195 | 음식                 | 서양식                        | 기타 서양식 음식점                                    |
| 219 | 음식                 | 서양식                        | 파스타/스테이크                                       |
| 232 | 음식                 | 서양식                        | 패밀리레스토랑                                        |
| 206 | 음식                 | 일식                          | 기타 일식 음식점                                      |
| 160 | 음식                 | 일식                          | 일식 면 요리                                          |
| 178 | 음식                 | 일식                          | 일식 카레/돈가스/덮밥                                 |
| 135 | 음식                 | 일식                          | 일식 회/초밥                                          |
| 173 | 음식                 | 주점                          | 무도 유흥 주점                                        |
|  53 | 음식                 | 주점                          | 생맥주 전문                                           |
|  14 | 음식                 | 주점                          | 요리 주점                                             |
| 113 | 음식                 | 주점                          | 일반 유흥 주점                                        |
| 147 | 음식                 | 중식                          | 마라탕/훠궈                                           |
| 110 | 음식                 | 중식                          | 중국집                                                |
|  75 | 음식                 | 한식                          | 곱창 전골/구이                                        |
|  65 | 음식                 | 한식                          | 국/탕/찌개류                                          |
|  26 | 음식                 | 한식                          | 국수/칼국수                                           |
| 128 | 음식                 | 한식                          | 기타 한식 음식점                                      |
|  34 | 음식                 | 한식                          | 냉면/밀면                                             |
|  78 | 음식                 | 한식                          | 닭/오리고기 구이/찜                                   |
|  10 | 음식                 | 한식                          | 돼지고기 구이/찜                                      |
|   1 | 음식                 | 한식                          | 백반/한정식                                           |
| 241 | 음식                 | 한식                          | 복 요리 전문                                          |
| 136 | 음식                 | 한식                          | 소고기 구이/찜                                        |
| 174 | 음식                 | 한식                          | 전/부침개                                             |
| 124 | 음식                 | 한식                          | 족발/보쌈                                             |
|  20 | 음식                 | 한식                          | 해산물 구이/찜                                        |
|  62 | 음식                 | 한식                          | 횟집                                                  |
+-----+----------------------+-------------------------------+-------------------------------------------------------+
